year,unitid,instnm,lstudy,gender,n_enrl
2019,214777,Pennsylvania State University-Main Campus,Undergraduate,Men,41089
2019,214777,Pennsylvania State University-Main Campus,Undergraduate,Women,35010
2019,214777,Pennsylvania State University-Main Campus,Graduate,Total,15328
2019,214777,Pennsylvania State University-Main Campus,Graduate,Men,8033
2019,214777,Pennsylvania State University-Main Campus,Graduate,Women,7295
2017,228723,Texas A & M University-College Station,All students,Total,67929
2017,228723,Texas A & M University-College Station,All students,Men,35846
2017,228723,Texas A & M University-College Station,All students,Women,32083
2017,228723,Texas A & M University-College Station,Undergraduate,Total,53065
2017,228723,Texas A & M University-College Station,Undergraduate,Men,27695
2017,228723,Texas A & M University-College Station,Undergraduate,Women,25370
2017,228723,Texas A & M University-College Station,Graduate,Total,14864
2017,228723,Texas A & M University-College Station,Graduate,Men,8151
2017,228723,Texas A & M University-College Station,Graduate,Women,6713
2018,228723,Texas A & M University-College Station,All students,Total,68679
2018,228723,Texas A & M University-College Station,All students,Men,36450
2018,228723,Texas A & M University-College Station,All students,Women,32229
2018,228723,Texas A & M University-College Station,Undergraduate,Total,53743
2018,228723,Texas A & M University-College Station,Undergraduate,Men,28313
2018,228723,Texas A & M University-College Station,Undergraduate,Women,25430
2018,228723,Texas A & M University-College Station,Graduate,Total,14936
2018,228723,Texas A & M University-College Station,Graduate,Men,8137
2018,228723,Texas A & M University-College Station,Graduate,Women,6799
2019,228723,Texas A & M University-College Station,All students,Total,68726
2019,228723,Texas A & M University-College Station,All students,Men,36604
2019,228723,Texas A & M University-College Station,All students,Women,32122
2019,228723,Texas A & M University-College Station,Undergraduate,Total,53791
2019,228723,Texas A & M University-College Station,Undergraduate,Men,28500
2019,228723,Texas A & M University-College Station,Undergraduate,Women,25291
2019,228723,Texas A & M University-College Station,Graduate,Total,14935
2019,228723,Texas A & M University-College Station,Graduate,Men,8104
2019,228723,Texas A & M University-College Station,Graduate,Women,6831
2020,228723,Texas A & M University-College Station,All students,Total,70418
2020,228723,Texas A & M University-College Station,All students,Men,37319
2020,228723,Texas A & M University-College Station,All students,Women,33099
2020,228723,Texas A & M University-College Station,Undergraduate,Total,55568
2020,228723,Texas A & M University-College Station,Undergraduate,Men,29430
2020,228723,Texas A & M University-College Station,Undergraduate,Women,26138
2020,228723,Texas A & M University-College Station,Graduate,Total,14850
2020,228723,Texas A & M University-College Station,Graduate,Men,7889
2020,228723,Texas A & M University-College Station,Graduate,Women,6961
2017,228778,The University of Texas at Austin,All students,Total,51525
2017,228778,The University of Texas at Austin,All students,Men,24742
2017,228778,The University of Texas at Austin,All students,Women,26783
2017,228778,The University of Texas at Austin,Undergraduate,Total,40492
2017,228778,The University of Texas at Austin,Undergraduate,Men,19054
2017,228778,The University of Texas at Austin,Undergraduate,Women,21438
2017,228778,The University of Texas at Austin,Graduate,Total,11033
2017,228778,The University of Texas at Austin,Graduate,Men,5688
2017,228778,The University of Texas at Austin,Graduate,Women,5345
2018,228778,The University of Texas at Austin,All students,Total,51832
2018,228778,The University of Texas at Austin,All students,Men,24520
2018,228778,The University of Texas at Austin,All students,Women,27312
2018,228778,The University of Texas at Austin,Undergraduate,Total,40804
2018,228778,The University of Texas at Austin,Undergraduate,Men,18852
2018,228778,The University of Texas at Austin,Undergraduate,Women,21952
2018,228778,The University of Texas at Austin,Graduate,Total,11028
2018,228778,The University of Texas at Austin,Graduate,Men,5668
2018,228778,The University of Texas at Austin,Graduate,Women,5360
2019,228778,The University of Texas at Austin,All students,Total,51090
2019,228778,The University of Texas at Austin,All students,Men,23862
2019,228778,The University of Texas at Austin,All students,Women,27228
2019,228778,The University of Texas at Austin,Undergraduate,Total,40163
2019,228778,The University of Texas at Austin,Undergraduate,Men,18285
2019,228778,The University of Texas at Austin,Undergraduate,Women,21878
2019,228778,The University of Texas at Austin,Graduate,Total,10927
2019,228778,The University of Texas at Austin,Graduate,Men,5577
2019,228778,The University of Texas at Austin,Graduate,Women,5350
2020,228778,The University of Texas at Austin,All students,Total,50476
2020,228778,The University of Texas at Austin,All students,Men,22994
2020,228778,The University of Texas at Austin,All students,Women,27482
2020,228778,The University of Texas at Austin,Undergraduate,Total,40048
2020,228778,The University of Texas at Austin,Undergraduate,Men,17716
2020,228778,The University of Texas at Austin,Undergraduate,Women,22332
